PLAYER,PASSING_ATT,PASSING_ATT_HIGH,PASSING_ATT_LOW,PASSING_CMP,PASSING_CMP_HIGH,PASSING_CMP_LOW,PASSING_YDS,PASSING_YDS_HIGH,PASSING_YDS_LOW,PASSING_TDS,PASSING_TDS_HIGH,PASSING_TDS_LOW,PASSING_INTS,RUSHING_ATT,RUSHING_ATT_HIGH,RUSHING_ATT_LOW,RUSHING_YDS,RUSHING_YDS_HIGH,RUSHING_YDS_LOW,RUSHING_TDS,RUSHING_TDS_HIGH,RUSHING_TDS_LOW,MISC_FL,MISC_FPTS,MISC_FPTS_HIGH,MISC_FPTS_LOW,POSITION,SCRAPE_DATE,DATA_TYPE,RECEIVING_REC,RECEIVING_REC_HIGH,RECEIVING_REC_LOW,RECEIVING_YDS,RECEIVING_YDS_HIGH,RECEIVING_YDS_LOW,RECEIVING_TDS,RECEIVING_TDS_HIGH,RECEIVING_TDS_LOW,MISC_FL_HIGH,MISC_FL_LOW,FG,FG_HIGH,FG_LOW,FGA,FGA_HIGH,FGA_LOW,XPT,XPT_HIGH,XPT_LOW,FPTS,FPTS_HIGH,FPTS_LOW,FPTS_ENVELOPE_WIDTH,SACK,SACK_HIGH,SACK_LOW,INT,INT_HIGH,INT_LOW,FR,FR_HIGH,FR_LOW,FF,FF_HIGH,FF_LOW,TD,TD_HIGH,TD_LOW,SAFETY,SAFETY_HIGH,SAFETY_LOW,PA,PA_HIGH,PA_LOW,YDS_AGN
Josh Allen BUF,522.5,553.9,499.0,334.8,354.8,315.0,3922.9,4162.9,3777.0,29.0,33.0,27.0,,115.7,124.4,104.0,571.6,655.9,504.0,10.7,11.2,10.0,,376.9,445.0,341.5,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson BAL,480.7,521.2,454.0,321.3,343.8,310.0,3891.0,4146.0,3619.0,32.4,36.0,30.0,,134.7,144.6,121.2,827.7,889.3,722.1,3.9,4.2,3.0,,374.1,445.0,352.0,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Hurts PHI,461.3,500.0,414.0,311.6,338.0,286.0,3535.7,3804.2,3346.0,23.7,28.0,22.0,,147.3,164.0,123.9,633.2,752.0,535.0,12.6,14.0,11.2,,358.7,405.0,340.5,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Daniels WAS,533.1,555.7,502.0,362.3,372.4,341.0,3880.2,4108.7,3662.0,26.7,29.0,24.0,,137.2,146.9,111.0,749.8,816.0,548.7,5.6,7.1,4.9,,354.9,401.0,336.5,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Burrow CIN,626.7,652.2,589.0,434.1,453.0,407.0,4661.6,4913.7,4415.0,35.8,38.0,34.0,,48.2,59.0,40.2,179.8,199.2,159.0,2.1,3.0,1.0,,342.2,416.0,312.5,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Mahomes II KC,605.4,614.9,588.0,409.9,413.0,408.0,4282.9,4370.7,4222.0,30.3,32.0,28.0,,75.5,96.2,62.0,367.2,481.0,315.0,2.8,3.8,2.0,,328.9,366.6,314.4,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker Mayfield TB,555.2,589.0,538.0,384.5,406.0,371.0,4170.5,4299.0,4009.0,32.6,35.0,29.0,,64.2,68.8,61.0,287.5,322.0,235.0,2.6,3.0,2.0,,318.9,373.0,297.9,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyler Murray ARI,542.7,563.8,525.0,367.7,381.6,346.0,3829.5,4029.7,3621.0,24.3,27.0,22.0,,88.4,96.4,82.0,550.9,596.6,501.0,5.1,6.1,4.0,,317.1,361.0,297.7,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Purdy SF,524.9,552.3,494.0,350.8,365.5,331.0,4301.3,4578.2,3955.0,26.9,29.6,24.8,,65.0,79.0,58.1,281.0,317.0,263.6,3.6,4.6,2.5,,311.1,349.0,297.7,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Nix DEN,560.3,575.3,551.0,366.4,376.1,360.0,3805.3,3935.9,3574.0,27.3,29.5,25.0,,88.7,90.9,84.8,422.3,458.0,402.0,3.5,4.1,2.0,,308.8,341.8,294.5,QB,2025-08-22 10:37:47,ENVELOPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
