player_name,position,fantasy_points,overall_rank,survival_pick_5,survival_pick_24,survival_pick_33,survival_pick_52,survival_pick_61,survival_pick_80,survival_pick_89
Bijan Robinson,RB,262.99,1,0.3082,0.0008,0.0,0.0,0.0,0.0,0.0
Justin Jefferson,WR,205.11,2,0.459,0.002,0.0004,0.0,0.0,0.0,0.0
Saquon Barkley,RB,273.17,3,0.59,0.0056,0.0006,0.0,0.0,0.0,0.0
Jahmyr Gibbs,RB,259.23,4,0.6966,0.0078,0.0008,0.0,0.0,0.0,0.0
CeeDee Lamb,WR,193.18,5,0.7578,0.0106,0.0018,0.0,0.0,0.0,0.0
Christian McCaffrey,RB,228.67,6,0.7998,0.0208,0.0016,0.0,0.0,0.0,0.0
Puka Nacua,WR,187.96,7,0.8336,0.0274,0.002,0.0,0.0,0.0,0.0
Malik Nabers,WR,183.07,8,0.856,0.0392,0.005,0.0002,0.0,0.0,0.0
Amon-Ra St. Brown,WR,181.43,9,0.8764,0.0568,0.0076,0.0002,0.0,0.0,0.0
Derrick Henry,RB,248.56,10,0.8878,0.077,0.008,0.0004,0.0,0.0,0.0
Ashton Jeanty,RB,217.63,11,0.8918,0.1018,0.0144,0.0002,0.0,0.0,0.0
Nico Collins,WR,183.9,12,0.9078,0.1382,0.0188,0.0002,0.0,0.0,0.0
Brian Thomas Jr.,WR,182.18,13,0.9074,0.179,0.0236,0.0004,0.0,0.0,0.0
A.J. Brown,WR,173.07,14,0.921,0.2232,0.0374,0.0002,0.0,0.0,0.0
Drake London,WR,169.97,15,0.9244,0.2688,0.045,0.0002,0.0,0.0,0.0
Jonathan Taylor,RB,216.36,16,0.928,0.313,0.0602,0.0006,0.0002,0.0,0.0
De'Von Achane,RB,223.46,17,0.9356,0.3744,0.0858,0.001,0.0002,0.0,0.0
Josh Jacobs,RB,226.58,18,0.9394,0.4104,0.1048,0.0018,0.0002,0.0,0.0
Brock Bowers,TE,148.75,19,0.941,0.4684,0.1324,0.0024,0.0004,0.0,0.0
Trey McBride,TE,139.13,20,0.9448,0.4926,0.1514,0.0014,0.0,0.0,0.0
Kyren Williams,RB,213.42,21,0.9486,0.5318,0.1908,0.0024,0.0002,0.0,0.0
Bucky Irving,RB,202.6,22,0.9522,0.5634,0.2234,0.004,0.0,0.0,0.0
Tee Higgins,WR,160.99,23,0.9474,0.594,0.2736,0.0054,0.0012,0.0,0.0
Tyreek Hill,WR,168.06,24,0.95,0.6178,0.3136,0.007,0.001,0.0002,0.0002
Davante Adams,WR,158.96,25,0.9612,0.6438,0.3486,0.0088,0.0008,0.0,0.0
Ladd McConkey,WR,164.23,26,0.9698,0.6604,0.3842,0.0102,0.001,0.0,0.0
Josh Allen,QB,366.17,27,0.9798,0.6942,0.4452,0.0148,0.0016,0.0,0.0
Lamar Jackson,QB,367.52,28,0.9846,0.7018,0.4646,0.0156,0.0018,0.0002,0.0
Jayden Daniels,QB,345.45,29,1.0,0.7346,0.5034,0.0262,0.0032,0.0,0.0
Jalen Hurts,QB,349.57,30,1.0,0.7616,0.5522,0.032,0.0046,0.0002,0.0
Chase Brown,RB,196.35,31,1.0,0.7748,0.5862,0.0402,0.007,0.0,0.0
James Cook,RB,196.42,32,1.0,0.7952,0.6144,0.0578,0.0088,0.0,0.0
Terry McLaurin,WR,159.42,33,1.0,0.8102,0.6358,0.0728,0.0114,0.0006,0.0
Mike Evans,WR,164.74,34,1.0,0.832,0.682,0.0902,0.0148,0.0004,0.0002
Jaxon Smith-Njigba,WR,152.56,35,1.0,0.8504,0.7,0.1204,0.0216,0.0002,0.0
Omarion Hampton,RB,175.3,36,1.0,0.8628,0.717,0.1456,0.023,0.0008,0.0002
Chuba Hubbard,RB,174.77,37,1.0,0.8784,0.7374,0.1738,0.0326,0.0006,0.0
Joe Burrow,QB,331.05,38,1.0,0.887,0.7624,0.2098,0.046,0.0002,0.0002
George Kittle,TE,147.71,39,1.0,0.9022,0.7808,0.2482,0.0564,0.0008,0.0
James Conner,RB,182.8,40,1.0,0.918,0.798,0.2928,0.0724,0.001,0.0002
