simulation,pick_number,player_name,position,espn_rank
0,1,Ja'Marr Chase,WR,1
0,2,Christian McCaffrey,RB,7
0,3,Brian Thomas Jr.,WR,14
0,4,Bijan Robinson,RB,2
0,6,Justin Jefferson,WR,3
0,7,Drake London,WR,16
0,8,Saquon Barkley,RB,4
0,9,Brock Bowers,TE,20
0,10,Puka Nacua,WR,8
0,11,Kyren Williams,RB,22
0,12,Trey McBride,TE,21
0,13,Ashton Jeanty,RB,12
0,14,CeeDee Lamb,WR,6
0,15,Jahmyr Gibbs,RB,5
0,16,Amon-Ra St. Brown,WR,10
0,17,Josh Allen,QB,28
0,18,Derrick Henry,RB,11
0,19,A.J. Brown,WR,15
0,20,Bucky Irving,RB,23
0,21,Jonathan Taylor,RB,17
0,22,Mike Evans,WR,35
0,23,Ladd McConkey,WR,27
0,25,Chase Brown,RB,32
0,26,Jayden Daniels,QB,30
0,27,Malik Nabers,WR,9
0,28,Lamar Jackson,QB,29
0,29,Kenneth Walker III,RB,38
0,30,Jalen Hurts,QB,31
0,31,Davante Adams,WR,26
0,32,Nico Collins,WR,13
0,34,Tyreek Hill,WR,25
0,35,De'Von Achane,RB,18
0,36,Josh Jacobs,RB,19
0,37,Tee Higgins,WR,24
0,38,James Cook,RB,33
0,39,George Kittle,TE,40
0,40,TreVeyon Henderson,RB,44
0,41,Garrett Wilson,WR,48
0,42,Terry McLaurin,WR,34
0,43,Omarion Hampton,RB,37
0,44,Breece Hall,RB,45
0,45,Jaxon Smith-Njigba,WR,36
0,46,Joe Burrow,QB,39
0,47,James Conner,RB,43
0,48,Chuba Hubbard,RB,41
0,49,DK Metcalf,WR,49
0,50,Sam LaPorta,TE,61
0,51,Alvin Kamara,RB,42
0,53,Calvin Ridley,WR,51
0,54,Marvin Harrison Jr.,WR,47
0,55,Xavier Worthy,WR,46
0,56,Zay Flowers,WR,50
0,57,D'Andre Swift,RB,52
0,58,DeVonta Smith,WR,57
0,59,DJ Moore,WR,54
0,60,Baker Mayfield,QB,63
0,62,Rashee Rice,WR,55
0,63,David Montgomery,RB,67
0,64,RJ Harvey,RB,72
0,65,Jaylen Waddle,WR,59
0,66,Patrick Mahomes,QB,62
0,67,Jerry Jeudy,WR,65
0,68,Travis Hunter,WR,66
0,69,Jameson Williams,WR,56
0,70,Aaron Jones,RB,71
0,71,Courtland Sutton,WR,53
0,72,Jakobi Meyers,WR,76
0,73,Rome Odunze,WR,60
0,74,Chris Olave,WR,77
0,75,Tony Pollard,RB,68
0,76,George Pickens,WR,58
0,77,Deebo Samuel Sr.,WR,79
0,78,Tetairoa McMillan,WR,64
0,79,Joe Mixon,RB,82
0,81,Tucker Kraft,TE,86
0,82,T.J. Hockenson,TE,69
0,83,Jaylen Warren,RB,91
0,84,Cooper Kupp,WR,75
0,85,Kaleb Johnson,RB,80
0,86,Isiah Pacheco,RB,70
0,87,Chris Godwin,WR,73
0,88,Travis Kelce,TE,84
1,1,Derrick Henry,RB,11
1,2,Justin Jefferson,WR,3
1,3,CeeDee Lamb,WR,6
1,4,Jahmyr Gibbs,RB,5
1,6,Ja'Marr Chase,WR,1
1,7,Bijan Robinson,RB,2
1,8,Saquon Barkley,RB,4
1,9,Christian McCaffrey,RB,7
1,10,Malik Nabers,WR,9
1,11,Drake London,WR,16
1,12,Amon-Ra St. Brown,WR,10
1,13,De'Von Achane,RB,18
1,14,Brock Bowers,TE,20
1,15,Josh Allen,QB,28
1,16,Jonathan Taylor,RB,17
1,17,A.J. Brown,WR,15
1,18,Ashton Jeanty,RB,12
1,19,Bucky Irving,RB,23
1,20,Kyren Williams,RB,22
1,21,Nico Collins,WR,13
1,22,Josh Jacobs,RB,19
1,23,Lamar Jackson,QB,29
1,25,Davante Adams,WR,26
1,26,Brian Thomas Jr.,WR,14
1,27,Tee Higgins,WR,24
1,28,Puka Nacua,WR,8
