pick,pos,name,proj_pts,avail,low,proj,high
5,RB,Saquon Barkley,273.17,0.5,,,
5,RB,Bijan Robinson,262.99,0.36,,,
5,RB,Jahmyr Gibbs,259.23,0.66,,,
5,RB,Derrick Henry,248.56,0.88,,,
5,RB,Christian McCaffrey,228.67,0.84,,,
5,RB,Josh Jacobs,226.58,0.95,,,
5,RB,De'Von Achane,223.46,0.94,,,
24,RB,Derrick Henry,248.56,0.08,,,
24,RB,Josh Jacobs,226.58,0.49,,,
24,RB,De'Von Achane,223.46,0.29,,,
24,RB,Ashton Jeanty,217.63,0.09,,,
24,RB,Jonathan Taylor,216.36,0.37,,,
24,RB,Kyren Williams,213.42,0.55,,,
24,RB,Bucky Irving,202.6,0.5,,,
33,WR,A.J. Brown,173.07,0.06,,,
33,WR,Tyreek Hill,168.06,0.29,,,
33,WR,Mike Evans,164.74,0.65,,,
33,WR,Ladd McConkey,164.23,0.39,,,
33,WR,Tee Higgins,160.99,0.31,,,
33,WR,Terry McLaurin,159.42,0.61,,,
33,WR,Davante Adams,158.96,0.44,,,
52,TE,George Kittle,147.71,0.34,,,
52,TE,T.J. Hockenson,106.52,0.89,,,
52,TE,David Njoku,100.35,0.95,,,
52,TE,Tucker Kraft,92.49,1.0,,,
52,TE,Tyler Warren,88.35,1.0,,,
52,TE,Dallas Goedert,85.74,1.0,,,
52,TE,Zach Ertz,84.35,1.0,,,
61,WR,DK Metcalf,155.11,0.34,,,
61,WR,Marvin Harrison Jr.,154.41,0.21,,,
61,WR,Xavier Worthy,146.46,0.16,,,
61,WR,Zay Flowers,145.11,0.38,,,
61,WR,Garrett Wilson,144.32,0.31,,,
61,WR,Courtland Sutton,144.25,0.49,,,
61,WR,DJ Moore,142.77,0.57,,,
80,RB,David Montgomery,164.55,0.26,,,
80,RB,Joe Mixon,159.11,0.77,,,
80,RB,Aaron Jones Sr.,158.85,0.49,,,
80,RB,Tony Pollard,157.44,0.45,,,
80,RB,Kaleb Johnson,145.82,0.62,,,
80,RB,Brian Robinson Jr.,145.54,1.0,,,
80,RB,Isiah Pacheco,144.53,0.5,,,
89,QB,Patrick Mahomes,317.03,0.09,,,
89,QB,Kyler Murray,307.99,0.56,,,
89,QB,Baker Mayfield,307.24,0.07,,,
89,QB,Brock Purdy,299.12,0.65,,,
89,QB,Bo Nix,296.48,0.5,,,
89,QB,Justin Fields,290.02,0.79,,,
89,QB,Justin Herbert,282.86,0.88,,,
5,RB,Saquon Barkley,273.17,0.5,,,
5,RB,Bijan Robinson,262.99,0.36,,,
5,RB,Jahmyr Gibbs,259.23,0.66,,,
5,RB,Derrick Henry,248.56,0.88,,,
5,RB,Christian McCaffrey,228.67,0.84,,,
24,RB,Saquon Barkley,273.17,0.01,,,
24,RB,Bijan Robinson,262.99,0.0,,,
24,RB,Jahmyr Gibbs,259.23,0.01,,,
24,RB,Derrick Henry,248.56,0.08,,,
24,RB,Christian McCaffrey,228.67,0.02,,,
33,WR,Justin Jefferson,205.11,0.0,,,
33,WR,CeeDee Lamb,193.18,0.0,,,
33,WR,Puka Nacua,187.96,0.0,,,
33,WR,Nico Collins,183.9,0.01,,,
33,WR,Malik Nabers,183.07,0.01,,,
52,TE,Brock Bowers,148.75,0.0,,,
52,TE,George Kittle,147.71,0.34,,,
52,TE,Trey McBride,139.13,0.0,,,
52,TE,T.J. Hockenson,106.52,0.89,,,
52,TE,David Njoku,100.35,0.95,,,
61,WR,Justin Jefferson,205.11,0.0,,,
61,WR,CeeDee Lamb,193.18,0.0,,,
61,WR,Puka Nacua,187.96,0.0,,,
61,WR,Nico Collins,183.9,0.0,,,
61,WR,Malik Nabers,183.07,0.0,,,
80,RB,Saquon Barkley,273.17,0.0,,,
80,RB,Bijan Robinson,262.99,0.0,,,
80,RB,Jahmyr Gibbs,259.23,0.0,,,
80,RB,Derrick Henry,248.56,0.0,,,
80,RB,Christian McCaffrey,228.67,0.0,,,
89,QB,Lamar Jackson,367.52,0.0,,,
89,QB,Josh Allen,366.17,0.0,,,
89,QB,Jalen Hurts,349.57,0.0,,,
89,QB,Jayden Daniels,345.45,0.0,,,
89,QB,Joe Burrow,331.05,0.0,,,
