position,pick_number,baseline_player,baseline_points,best_current_player,best_current_points,best_survival,position_needed,roster_count,position_limit
RB,5,Saquon Barkley,273.17,James Cook,196.42,1.0,True,0,3
WR,5,Justin Jefferson,205.11,Mike Evans,164.74,1.0,True,0,2
QB,5,Lamar Jackson,367.52,Lamar Jackson,367.52,1.0,True,0,1
TE,5,Brock Bowers,148.75,George Kittle,147.71,1.0,True,0,1
RB,24,Kyren Williams,213.42,Breece Hall,182.58,0.97,True,1,3
WR,24,Tyreek Hill,168.06,Mike Evans,164.74,0.84,True,0,2
QB,24,Lamar Jackson,367.52,Kyler Murray,307.99,1.0,True,0,1
TE,24,George Kittle,147.71,Mark Andrews,117.3,1.0,True,0,1
RB,33,James Cook,196.42,Breece Hall,182.58,0.86,True,2,3
WR,33,Mike Evans,164.74,Mike Evans,164.74,0.73,True,0,2
QB,33,Jalen Hurts,349.57,Kyler Murray,307.99,1.0,True,0,1
TE,33,George Kittle,147.71,Mark Andrews,117.3,1.0,True,0,1
RB,52,D'Andre Swift,166.61,Breece Hall,182.58,0.42,True,2,3
WR,52,DK Metcalf,155.11,Mike Evans,164.74,0.11,True,1,2
QB,52,Kyler Murray,307.99,Kyler Murray,307.99,1.0,True,0,1
TE,52,Mark Andrews,117.3,David Njoku,100.35,1.0,True,0,1
RB,61,David Montgomery,164.55,Breece Hall,182.58,0.16,True,2,3
WR,61,Courtland Sutton,144.25,Ja'Marr Chase,231.04,0.0,True,1,2
QB,61,Kyler Murray,307.99,Justin Fields,290.02,1.0,True,0,1
TE,61,Brock Bowers,148.75,Tyler Warren,88.35,1.0,False,1,1
RB,80,Joe Mixon,159.11,Saquon Barkley,273.17,0.0,True,2,3
WR,80,Justin Jefferson,205.11,Ja'Marr Chase,231.04,0.0,False,2,2
QB,80,Kyler Murray,307.99,Jared Goff,279.35,1.0,True,0,1
TE,80,Brock Bowers,148.75,Tyler Warren,88.35,1.0,False,1,1
RB,89,Jahmyr Gibbs,259.23,Saquon Barkley,273.17,0.0,False,3,3
WR,89,Justin Jefferson,205.11,Ja'Marr Chase,231.04,0.0,False,2,2
QB,89,Kyler Murray,307.99,Jared Goff,279.35,0.98,True,0,1
TE,89,Brock Bowers,148.75,Zach Ertz,84.35,1.0,False,1,1
