pick,pos,now_pts,next_pts,now_survival,drop_abs,drop_pct
5,RB,273.17,213.42,,59.75000000000003,21.872826445070842
5,WR,205.11,168.06,,37.05000000000001,18.063478133684367
5,TE,148.75,147.71,,1.039999999999992,0.6991596638655408
5,QB,367.52,367.52,,0.0,0.0
24,RB,213.42,196.42,,17.0,7.965514009933465
24,TE,147.71,147.71,,0.0,0.0
24,QB,367.52,367.52,,0.0,0.0
24,WR,168.06,164.74,,3.319999999999993,1.9754849458526675
33,TE,147.71,117.3,,30.41000000000001,20.587637939205205
33,WR,164.74,155.11,,9.629999999999995,5.845574845210632
33,RB,196.42,166.61,,29.809999999999974,15.176662254352904
33,QB,367.52,307.99,,59.52999999999997,16.197757945145835
52,WR,155.11,144.25,,10.860000000000014,7.001482818644841
52,RB,166.61,166.61,,0.0,0.0
52,QB,307.99,307.99,,0.0,0.0
52,TE,117.3,117.3,,0.0,0.0
61,WR,144.25,132.04,,12.210000000000008,8.464471403812832
61,RB,166.61,159.11,,7.5,4.501530520376928
61,QB,307.99,307.99,,0.0,0.0
61,TE,117.3,117.3,,0.0,0.0
80,RB,159.11,159.11,,0.0,0.0
80,WR,132.04,132.04,,0.0,0.0
80,QB,307.99,307.99,,0.0,0.0
80,TE,117.3,117.3,,0.0,0.0
