position,pick_idx,current_pick,best_player,current_points,pct_drops,future_picks
RB,3,5,Saquon Barkley,273.17,"[21.872826445070846, 28.096057400153757, 39.0086759160962]","[24, 33, 52]"
WR,3,5,Justin Jefferson,205.11,"[18.06347813368437, 19.682121788308713, 24.37716347325825]","[24, 33, 52]"
TE,3,5,Brock Bowers,148.75,"[0.6991596638655408, 0.6991596638655408, 21.142857142857142]","[24, 33, 52]"
QB,3,5,Lamar Jackson,367.52,"[0.0, 4.884087940792335, 16.197757945145835]","[24, 33, 52]"
RB,3,24,Kyren Williams,213.42,"[7.965514009933465, 21.933277106175606, 22.898509980320487]","[33, 52, 61]"
TE,3,24,George Kittle,147.71,"[0.0, 20.587637939205205, 20.587637939205205]","[33, 52, 61]"
QB,3,24,Lamar Jackson,367.52,"[4.884087940792335, 16.197757945145835, 16.197757945145835]","[33, 52, 61]"
WR,3,24,Tyreek Hill,168.06,"[1.9754849458526675, 7.705581339997614, 14.167559205045817]","[33, 52, 61]"
TE,3,33,George Kittle,147.71,"[20.587637939205205, 20.587637939205205, 20.587637939205205]","[52, 61, 80]"
WR,3,33,Mike Evans,164.74,"[5.845574845210632, 12.437780745417024, 19.849459754765096]","[52, 61, 80]"
RB,3,33,James Cook,196.42,"[15.176662254352905, 16.22543529172181, 18.99501069137561]","[52, 61, 80]"
QB,3,33,Jalen Hurts,349.57,"[11.894613382155216, 11.894613382155216, 11.894613382155216]","[52, 61, 80]"
WR,3,52,DK Metcalf,155.11,"[7.001482818644841, 14.87331571143061, 14.87331571143061]","[61, 80, 89]"
RB,3,52,D'Andre Swift,166.61,"[1.2364203829301974, 4.501530520376928, 4.501530520376928]","[61, 80, 89]"
QB,3,52,Kyler Murray,307.99,"[0.0, 0.0, 0.0]","[61, 80, 89]"
TE,3,52,Mark Andrews,117.3,"[0.0, 0.0, 0.0]","[61, 80, 89]"
WR,2,61,Courtland Sutton,144.25,"[8.46447140381283, 8.46447140381283]","[80, 89]"
RB,2,61,David Montgomery,164.55,"[3.3059860224855653, 3.3059860224855653]","[80, 89]"
QB,2,61,Kyler Murray,307.99,"[0.0, 0.0]","[80, 89]"
TE,2,61,Mark Andrews,117.3,"[0.0, 0.0]","[80, 89]"
RB,1,80,Joe Mixon,159.11,[0.0],[89]
WR,1,80,Deebo Samuel Sr.,132.04,[0.0],[89]
QB,1,80,Kyler Murray,307.99,[0.0],[89]
TE,1,80,Mark Andrews,117.3,[0.0],[89]
