overall_rank,position,position_rank,player_name,team
1,RB,RB1,Bijan Robinson,ATL
2,WR,WR1,Justin Jefferson,MIN
3,RB,RB2,Saquon Barkley,PHI
4,RB,RB3,Jahmyr Gibbs,DET
5,WR,WR2,CeeDee Lamb,DAL
6,RB,RB4,Christian McCaffrey,SF
7,WR,WR3,Puka Nacua,LAR
8,WR,WR4,Malik Nabers,NYG
9,WR,WR5,Amon-Ra St. Brown,DET
10,RB,RB5,Derrick Henry,BAL
11,RB,RB6,Ashton Jeanty,LV
12,WR,WR6,Nico Collins,HOU
13,WR,WR7,Brian Thomas Jr.,JAC
14,WR,WR8,A.J. Brown,PHI
15,WR,WR9,Drake London,ATL
16,RB,RB7,Jonathan Taylor,IND
17,RB,RB8,De'Von Achane,MIA
18,RB,RB9,Josh Jacobs,GB
19,TE,TE1,Brock Bowers,LV
20,TE,TE2,Trey McBride,ARI
21,RB,RB10,Kyren Williams,LAR
22,RB,RB11,Bucky Irving,TB
23,WR,WR10,Tee Higgins,CIN
24,WR,WR11,Tyreek Hill,MIA
25,WR,WR12,Davante Adams,LAR
26,WR,WR13,Ladd McConkey,LAC
27,QB,QB1,Josh Allen,BUF
28,QB,QB2,Lamar Jackson,BAL
29,QB,QB3,Jayden Daniels,WAS
30,QB,QB4,Jalen Hurts,PHI
31,RB,RB12,Chase Brown,CIN
32,RB,RB13,James Cook,BUF
33,WR,WR14,Terry McLaurin,WAS
34,WR,WR15,Mike Evans,TB
35,WR,WR16,Jaxon Smith-Njigba,SEA
36,RB,RB14,Omarion Hampton,LAC
37,RB,RB15,Chuba Hubbard,CAR
38,QB,QB5,Joe Burrow,CIN
39,TE,TE3,George Kittle,SF
40,RB,RB16,James Conner,ARI
41,RB,RB17,Alvin Kamara,NO
42,RB,RB18,TreVeyon Henderson,NE
43,RB,RB19,Kenneth Walker III,SEA
44,RB,RB20,Breece Hall,NYJ
45,WR,WR17,Xavier Worthy,KC
46,WR,WR18,Marvin Harrison Jr.,ARI
47,WR,WR19,Garrett Wilson,NYJ
48,WR,WR20,DK Metcalf,PIT
49,WR,WR21,Zay Flowers,BAL
50,WR,WR22,Calvin Ridley,TEN
51,RB,RB21,D'Andre Swift,CHI
52,WR,WR23,Courtland Sutton,DEN
53,WR,WR24,DJ Moore,CHI
54,WR,WR25,Rashee Rice,KC
55,WR,WR26,Jameson Williams,DET
56,WR,WR27,George Pickens,DAL
57,WR,WR28,Rome Odunze,CHI
58,WR,WR29,DeVonta Smith,PHI
59,WR,WR30,Jaylen Waddle,MIA
60,QB,QB6,Patrick Mahomes,KC
61,QB,QB7,Baker Mayfield,TB
62,WR,WR31,Tetairoa McMillan,CAR
63,WR,WR32,Jerry Jeudy,CLE
64,WR,WR33,Travis Hunter,JAC
65,RB,RB22,David Montgomery,DET
66,RB,RB23,Tony Pollard,TEN
67,TE,TE4,T.J. Hockenson,MIN
68,RB,RB24,Isiah Pacheco,KC
69,RB,RB25,Aaron Jones Sr.,MIN
70,RB,RB26,RJ Harvey,DEN
71,WR,WR34,Chris Godwin,TB
72,WR,WR35,Matthew Golden,GB
73,WR,WR36,Jakobi Meyers,LV
74,WR,WR37,Cooper Kupp,SEA
75,WR,WR38,Jordan Addison,MIN
76,WR,WR39,Emeka Egbuka,TB
77,RB,RB27,Kaleb Johnson,PIT
78,TE,TE5,David Njoku,CLE
79,TE,TE6,Evan Engram,DEN
80,QB,QB8,Bo Nix,DEN
81,QB,QB9,Kyler Murray,ARI
82,QB,QB10,Brock Purdy,SF
83,RB,RB28,Joe Mixon,HOU
84,RB,RB29,Jaylen Warren,PIT
85,RB,RB30,Austin Ekeler,WAS
86,RB,RB31,J.K. Dobbins,DEN
87,RB,RB32,Rhamondre Stevenson,NE
88,RB,RB33,Javonte Williams,DAL
89,WR,WR40,Stefon Diggs,NE
90,WR,WR41,Keon Coleman,BUF
91,WR,WR42,Jauan Jennings,SF
92,WR,WR43,Ricky Pearsall,SF
93,WR,WR44,Khalil Shakir,BUF
94,WR,WR45,Jayden Reed,GB
95,WR,WR46,Michael Pittman Jr.,IND
96,QB,QB11,Justin Herbert,LAC
97,QB,QB12,Caleb Williams,CHI
98,QB,QB13,Dak Prescott,DAL
99,QB,QB14,Justin Fields,NYJ
100,WR,WR47,Darnell Mooney,ATL
101,WR,WR48,Keenan Allen,LAC
102,WR,WR49,Josh Downs,IND
103,WR,WR50,Rashid Shaheed,NO
104,WR,WR51,Jayden Higgins,HOU
105,TE,TE7,Tyler Warren,IND
106,RB,RB34,Cam Skattebo,NYG
107,RB,RB35,Tank Bigsby,JAC
108,RB,RB36,Jordan Mason,MIN
109,RB,RB37,Tyjae Spears,TEN
110,RB,RB38,Travis Etienne Jr.,JAC
111,RB,RB39,Quinshon Judkins,CLE
112,RB,RB40,Rachaad White,TB
113,QB,QB15,Drake Maye,NE
114,QB,QB16,Jordan Love,GB
115,QB,QB17,Jared Goff,DET
116,QB,QB18,J.J. McCarthy,MIN
117,TE,TE8,Colston Loveland,CHI
118,TE,TE9,Tucker Kraft,GB
119,TE,TE10,Dallas Goedert,PHI
120,TE,TE11,Kyle Pitts Sr.,ATL
121,TE,TE12,Dalton Kincaid,BUF
122,RB,RB41,Trey Benson,ARI
123,RB,RB42,Zach Charbonnet,SEA
124,RB,RB43,Tyler Allgeier,ATL
125,RB,RB44,Jaydon Blue,DAL
126,RB,RB45,Jaylen Wright,MIA
127,RB,RB46,Braelon Allen,NYJ
128,WR,WR52,Adam Thielen,CAR
129,WR,WR53,Xavier Legette,CAR
130,WR,WR54,Cedric Tillman,CLE
131,WR,WR55,Hollywood Brown,KC
132,WR,WR56,Brandon Aiyuk,SF
133,TE,TE13,Hunter Henry,NE
134,TE,TE14,Jake Ferguson,DAL
135,QB,QB19,Tua Tagovailoa,MIA
136,QB,QB20,Matthew Stafford,LAR
137,QB,QB21,C.J. Stroud,HOU
138,RB,RB47,Jerome Ford,CLE
139,RB,RB48,Najee Harris,LAC
140,RB,RB49,Bhayshul Tuten,JAC
141,RB,RB50,Ray Davis,BUF
142,RB,RB51,Will Shipley,PHI
143,RB,RB52,Nick Chubb,HOU
144,WR,WR57,Wan'Dale Robinson,NYG
145,WR,WR58,Marvin Mims Jr.,DEN
146,WR,WR59,Christian Kirk,HOU
147,WR,WR60,Rashod Bateman,BAL
148,WR,WR61,DeMario Douglas,NE
149,WR,WR62,Luther Burden III,CHI
150,WR,WR63,Tre Harris,LAC
151,WR,WR64,Michael Wilson,ARI
152,WR,WR65,Brian Robinson Jr.,SF
153,RB,RB53,Justice Hill,BAL
154,RB,RB54,MarShawn Lloyd,GB
155,WR,WR66,Jack Bech,LV
156,WR,WR67,Kyle Williams,NE
157,TE,TE15,Zach Ertz,WAS
158,TE,TE16,Jonnu Smith,PIT
159,TE,TE17,Darren Waller,MIA
160,TE,TE18,Cade Otton,TB
161,DST,DST1,Texans D/ST,HOU
162,DST,DST2,Steelers D/ST,PIT
163,DST,DST3,Broncos D/ST,DEN
164,DST,DST4,Vikings D/ST,MIN
165,DST,DST5,Seahawks D/ST,SEA
166,DST,DST6,Ravens D/ST,BAL
167,DST,DST7,Patriots D/ST,NE
168,DST,DST8,Lions D/ST,DET
169,DST,DST9,Eagles D/ST,PHI
170,DST,DST10,Bills D/ST,BUF
171,DST,DST11,Colts D/ST,IND
172,DST,DST12,Jets D/ST,NYJ
173,K,K1,Jake Bates,DET
174,K,K2,Chase McLaughlin,TB
175,K,K3,Cameron Dicker,LAC
176,K,K4,Brandon Aubrey,DAL
177,K,K5,Jason Sanders,MIA
178,K,K6,Tyler Bass,BUF
179,K,K7,Jake Elliott,PHI
180,K,K8,Chris Boswell,PIT
181,K,K9,Harrison Butker,KC
182,K,K10,Cairo Santos,CHI
183,K,K11,Tyler Loop,BAL
184,K,K12,Matt Gay,WAS
185,WR,WR68,Romeo Doubs,GB
186,WR,WR69,Tyler Lockett,TEN
187,RB,RB55,Roschon Johnson,CHI
188,RB,RB56,Dylan Sampson,CLE
189,WR,WR70,Nick Westbrook-Ikhine,MIA
190,QB,QB22,Trevor Lawrence,JAC
191,QB,QB23,Cameron Ward,TEN
192,QB,QB24,Michael Penix Jr.,ATL
193,WR,WR71,Joshua Palmer,BUF
194,WR,WR72,Diontae Johnson,CLE
195,WR,WR73,Brandin Cooks,NO
196,WR,WR74,Darius Slayton,NYG
197,TE,TE19,Pat Freiermuth,PIT
198,QB,QB25,Bryce Young,CAR
