RK,Name,Team,POS.RK,REAL_TIME_ADP
1,J. Chase,CIN (10),WR1,2.2
2,B. Robinson,ATL (5),RB1,4
3,J. Gibbs,DET (8),RB2,4.5
4,S. Barkley,PHI (9),RB3,4.6
5,J. Jefferson,MIN (6),WR2,6.8
6,C. Lamb,DAL (10),WR3,7.2
7,C. McCaffrey,SF (14),RB4,8.5
8,D. Henry,BAL (7),RB5,8.9
9,A. Jeanty,LV (8),RB6,11
10,N. Collins,HOU (6),WR4,12.4
11,A. St. Brown,DET (8),WR5,12.4
12,M. Nabers,NYG (14),WR6,15.2
13,P. Nacua,LAR (8),WR7,16.5
14,J. Jacobs,GB (5),RB7,16.5
15,J. Taylor,IND (11),RB8,17
16,D. London,ATL (5),WR8,20.2
17,D. Achane,MIA (12),RB9,20.4
18,B. Thomas Jr.,JAC (8),WR9,22.3
19,A.J. Brown,PHI (9),WR10,22.6
20,K. Williams,LAR (8),RB10,22.9
21,C. Brown,CIN (10),RB11,23.8
22,J. Allen,BUF (7),QB1,26.5
23,B. Irving,TB (9),RB12,26.5
24,B. Bowers,LV (8),TE1,28.3
25,J. Cook,BUF (7),RB13,28.4
26,L. McConkey,LAC (12),WR11,29.7
27,L. Jackson,BAL (7),QB2,31
28,T. McBride,ARI (8),TE2,31.9
29,G. Kittle,SF (14),TE3,32.9
30,T. Higgins,CIN (10),WR12,33.2
31,O. Hampton,LAC (12),RB14,33.2
32,M. Evans,TB (9),WR13,35.9
33,K. Walker III,SEA (8),RB15,37.1
34,T. Hill,MIA (12),WR14,38
35,M. Harrison Jr.,ARI (8),WR15,38.7
36,J. Daniels,WAS (12),QB3,38.7
37,J. Smith-Njigba,SEA (8),WR16,38.9
38,J. Hurts,PHI (9),QB4,39.1
39,B. Hall,NYJ (9),RB16,40.2
40,A. Kamara,NO (11),RB17,42.5
41,T. McLaurin,WAS (12),WR17,43
42,D. Adams,LAR (8),WR18,43.4
43,C. Hubbard,CAR (14),RB18,43.7
44,J. Conner,ARI (8),RB19,44
45,T. Henderson,NE (14),RB20,45.8
46,J. Burrow,CIN (10),QB5,45.8
47,G. Wilson,NYJ (9),WR19,46
48,DK Metcalf,PIT (5),WR20,48.2
49,P. Mahomes II,KC (10),QB6,55.6
50,S. LaPorta,DET (8),TE4,55.6
51,RJ Harvey,DEN (12),RB21,55.7
52,D. Montgomery,DET (8),RB22,57.3
53,D. Swift,CHI (5),RB23,58.3
54,DJ Moore,CHI (5),WR21,59
55,X. Worthy,KC (10),WR22,59
56,D. Smith,PHI (9),WR23,59.4
57,J. Williams,DET (8),WR24,59.7
58,T. Pollard,TEN (10),RB24,59.8
59,G. Pickens,DAL (10),WR25,60.6
60,I. Pacheco,KC (10),RB25,61.1
61,C. Sutton,DEN (12),WR26,61.7
62,A. Jones Sr.,MIN (6),RB26,65.9
63,Z. Flowers,BAL (7),WR27,67
64,T. McMillan,CAR (14),WR28,67
65,C. Ridley,TEN (10),WR29,67.2
66,T. Kelce,KC (10),TE5,68.7
67,J. Waddle,MIA (12),WR30,69.9
68,T.J. Hockenson,MIN (6),TE6,70.2
69,K. Johnson,PIT (5),RB27,70.3
70,M. Andrews,BAL (7),TE7,71.6
71,R. Rice,KC (10),WR31,74.4
72,B. Mayfield,TB (9),QB7,77.2
73,T. Hunter,JAC (8),WR32,77.4
74,Bo Nix,DEN (12),QB8,77.5
75,T. Tracy Jr.,NYG (14),RB28,79.9
76,R. Odunze,CHI (5),WR33,82.6
77,C. Olave,NO (11),WR34,84.3
78,E. Egbuka,TB (9),WR35,84.4
79,J. Mason,MIN (6),RB29,85.3
80,R. Pearsall,SF (14),WR36,86.2
81,J. Mixon,HOU (6),RB30,86.8
82,J. Warren,PIT (5),RB31,87.6
83,J. Jeudy,CLE (9),WR37,88.8
84,D. Samuel Sr.,WAS (12),WR38,88.9
85,J. Meyers,LV (8),WR39,92.6
86,S. Diggs,NE (14),WR40,93.2
87,E. Engram,DEN (12),TE8,93.5
88,D. Prescott,DAL (10),QB9,93.9
89,D. Njoku,CLE (9),TE9,95.1
90,K. Murray,ARI (8),QB10,95.7
91,B. Purdy,SF (14),QB11,95.7
92,J. Addison,MIN (6),WR41,97.1
93,T. Etienne Jr.,JAC (8),RB32,98.3
94,J.K. Dobbins,DEN (12),RB33,98.8
95,T. Warren,IND (11),TE10,99.5
96,T. Kraft,GB (5),TE11,100.6
97,M. Golden,GB (5),WR42,101.3
98,T. Bigsby,JAC (8),RB34,104.2
99,Z. Charbonnet,SEA (8),RB35,104.8
100,C. Kupp,SEA (8),WR43,105.4
101,J. Croskey-Merritt,WAS (12),RB36,107.2
102,B. Aubrey,DAL (10),K1,107.4
103,B. Robinson Jr.,SF (14),RB37,107.8
104,C. Skattebo,NYG (14),RB38,109.3
105,J. Fields,NYJ (9),QB12,109.4
106,P. Eagles,PHI (9),DST1,109.5
107,J. Jennings,SF (14),WR44,110.8
108,D. Broncos,DEN (12),DST2,111
109,R. Stevenson,NE (14),RB39,114.1
110,J. Williams,DAL (10),RB40,115.6
111,Q. Judkins,CLE (9),RB41,117.1
112,J. Goff,DET (8),QB13,117.2
113,J. Reed,GB (5),WR45,117.5
114,K. Shakir,BUF (7),WR46,118.1
115,J. Herbert,LAC (12),QB14,118.6
116,C. Williams,CHI (5),QB15,119.1
117,M. Pittman Jr.,IND (11),WR47,120.4
118,A. Ekeler,WAS (12),RB42,120.4
119,C. Godwin Jr.,TB (9),WR48,120.7
120,B. Ravens,BAL (7),DST3,123.2
121,D. Maye,NE (14),QB16,123.7
122,K. Coleman,BUF (7),WR49,124.7
