name,pos,proj,high,low
Buffalo Bills,DST,116.7,203.1,104.9
Denver Broncos,DST,116.4,199.6,20.0
Philadelphia Eagles,DST,115.5,247.1,100.0
Houston Texans,DST,115.1,164.5,19.0
Baltimore Ravens,DST,114.6,229.3,15.0
Dallas Cowboys,DST,111.8,169.2,81.5
Pittsburgh Steelers,DST,110.5,161.2,102.0
Green Bay Packers,DST,108.7,203.2,84.5
Minnesota Vikings,DST,108.6,215.9,14.0
New York Giants,DST,108.3,169.3,92.0
Detroit Lions,DST,104.8,154.5,96.0
Los Angeles Rams,DST,103.8,153.0,87.2
Los Angeles Chargers,DST,103.6,191.6,71.0
San Francisco 49ers,DST,103.2,150.0,75.0
Tampa Bay Buccaneers,DST,102.7,142.7,99.0
Washington Commanders,DST,102.4,158.8,59.7
Kansas City Chiefs,DST,102.2,178.9,95.4
Chicago Bears,DST,100.9,153.7,92.3
Seattle Seahawks,DST,100.9,179.0,96.0
Indianapolis Colts,DST,100.6,140.2,90.0
Cleveland Browns,DST,98.7,149.0,70.0
New York Jets,DST,98.0,183.4,91.0
Arizona Cardinals,DST,97.2,150.2,79.0
Cincinnati Bengals,DST,96.2,142.7,58.4
Las Vegas Raiders,DST,93.2,137.1,54.7
Miami Dolphins,DST,93.0,131.0,77.6
Atlanta Falcons,DST,92.1,130.0,72.0
Jacksonville Jaguars,DST,91.1,128.5,79.0
New Orleans Saints,DST,90.2,171.2,61.0
Tennessee Titans,DST,89.6,138.7,71.0
New England Patriots,DST,85.3,127.3,79.0
Carolina Panthers,DST,83.0,129.4,49.6
Brandon Aubrey,K,141.6,157.0,140.0
Matt Gay,K,137.1,146.0,134.0
Chase McLaughlin,K,136.4,146.3,136.0
Jake Elliott,K,134.1,141.1,134.0
Jason Sanders,K,133.9,144.0,125.0
Tyler Bass,K,132.2,143.0,126.0
Cameron Dicker,K,131.2,143.7,131.0
Tyler Loop,K,129.6,140.0,30.0
Evan McPherson,K,129.5,138.0,127.0
Jake Bates,K,129.0,144.8,32.0
Ka'imi Fairbairn,K,128.4,137.1,128.0
Harrison Butker,K,128.3,138.9,122.0
Brandon McManus,K,126.8,138.0,123.0
Younghoe Koo,K,126.2,138.0,122.0
Chris Boswell,K,126.0,138.2,123.0
Wil Lutz,K,124.7,134.7,25.0
Joshua Karty,K,124.6,137.3,120.0
Will Reichard,K,124.0,133.0,113.0
Jake Moody,K,123.5,132.0,25.0
Chad Ryland,K,122.6,134.0,115.0
Spencer Shrader,K,120.9,139.0,102.0
Daniel Carlson,K,120.3,130.1,21.0
Cam Little,K,118.4,134.1,115.0
Jason Myers,K,116.2,135.0,112.0
Cairo Santos,K,116.0,139.6,107.0
Ryan Fitzgerald,K,115.5,126.4,26.4
Nick Folk,K,111.8,134.8,105.0
Blake Grupe,K,111.0,125.9,104.0
Joey Slye,K,108.8,124.9,104.0
Andy Borregales,K,106.6,127.6,102.0
Graham Gano,K,105.5,124.5,100.0
Dustin Hopkins,K,93.2,118.7,84.0
Matthew Wright,K,65.5,111.0,0.0
Josh Allen,QB,376.9,445.0,341.5
Lamar Jackson,QB,374.1,445.0,352.0
Jalen Hurts,QB,358.7,405.0,340.5
Jayden Daniels,QB,354.9,401.0,336.5
Joe Burrow,QB,342.2,416.0,312.5
Patrick Mahomes II,QB,328.9,366.6,314.4
Baker Mayfield,QB,318.9,373.0,297.9
Kyler Murray,QB,317.1,361.0,297.7
Brock Purdy,QB,311.1,349.0,297.7
Bo Nix,QB,308.8,341.8,294.5
Justin Fields,QB,299.9,341.8,279.0
J.J. McCarthy,QB,292.6,332.4,281.6
Dak Prescott,QB,291.7,344.0,275.1
Justin Herbert,QB,291.4,333.5,276.6
Caleb Williams,QB,288.3,339.0,280.4
Jared Goff,QB,286.5,337.3,260.5
